Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
SOCAL-CINMSC19,17-120802,669,2.05A,34-19.384 N,,120-48.384 W,,800,8/1/2012,12/17/2012,R,320,0,0,1,8/2/2012,0:00:00,12/7/2012,20:19:37,128
SOCAL-CINMSB20,80-121216,695,2.02S,34-17.131 N,,120-01.636 W,,900,12/16/2012,5/2/2013,R,200,0,0,0,12/16/2012,21:00:00,5/2/2013,20:27:30,138
SOCAL-CINMSC20,82-121217,692,2.05A,34-19.020 N,,120-48.336 W,,800,12/17/2012,5/2/2013,R,320,0,0,1,12/18/2012,0:00:00,4/28/2013,15:16:21,132
SOCAL-CINMSB21,71-130502,691,2.02S,34-17.112 N,,120-01.640 W,,580,5/2/2013,9/20/2013,R,200,0,0,0,5/2/2013,22:00:00,9/20/2013,15:23:45,140
SOCAL-CINMSC21,33-130502,708,2.05A,34-19.013 N,,120-48.333 W,,814,5/2/2013,9/20/2013,R,320,0,0,0,5/2/2013,20:00:00,6/17/2013,10:54:00,45
SOCAL-CINMSB22,81-130920,725,2.02S,34-17.115 N,,120-01.639 W,,535,9/20/2013,1/8/2014,R,200,0,0,0,9/21/2013,0:00:00,1/8/2014,18:06:15,110
SOCAL-CINMSC22,71-130920,718,2.02S,34-19.013 N,,120-48.333 W,,823,9/21/2013,1/14/2014,R,200,0,0,0,9/22/2013,0:00:00,1/14/2014,19:35:00,115
SOCAL-CINMSB23,80-140108,724,2.02S,34-17.098 N,,120-01.685 W,,573,1/8/2014,4/9/2014,R,200,0,0,0,1/8/2014,20:00:00,4/9/2014,21:36:14,91
SOCAL-CINMSC23,33-140114,692,2.05A,34-18.973 N,,120-48.295 W,,828,1/14/2014,4/9/2014,R,320,0,0,1,1/14/2014,21:00:00,4/9/2014,17:41:02,85
SOCAL-CINMSB24,54-140409,731,2.02S,34-17.099 N,,120-01.639 W,,580,4/9/2014,7/28/2014,R,200,0,0,1,4/9/2014,23:59:59,5/22/2014,8:29:33,42.3
SOCAL-CINMSC24,16-140409,697,2.05A,34-19.452 N,,120-48.369 W,,754,4/9/2014,7/28/2014,R,320,0,0,0,4/9/2014,20:00:00,7/29/2014,7:22:17,110.5
SOCAL-CINMSB25,13-140729,742,2.02S,34-17.143 N,,120-01.650 W,,580,7/29/2014,11/4/2014,R,200,0,0,0,7/29/2014,6:00:00,11/4/2014,4:37:30,97.9
SOCAL-CINMSC25,33-140729,697,2.05A,34-19.483 N,,120-48.414 W,,770,7/29/2014,11/4/2014,R,320,0,0,0,7/29/2014,12:00:00,11/4/2014,9:38:36,97.9
SOCAL-CINMSB26,34-141104,683,2.02S,34-17.157 N,,120-01.695 W,,600,11/4/2014,2/5/2015,R,200,0,0,0,11/4/2014,6:00:00,2/5/2015,19:35:00,93.5
SOCAL-CINMSC26,16-141104,762,2.05A,34-19.474 N,,120-48.474 W,,600,11/4/2014,2/5/2015,R,320,0,0,0,11/4/2014,14:00:00,2/5/2015,14:53:26,93
SOCAL-CINMSB27,89-150205,714,2.02S,34-17.168 N,,120-01.717 W,,600,2/5/2015,6/10/2015,R,200,0,0,0,2/6/2015,0:00:00,6/10/2015,18:10:00,124.8
SOCAL-CINMSC27,33-150205,697,2.05A,34-19.562 N,,120-48.407 W,,755,2/5/2015,6/10/2015,R,320,0,0,0,2/6/2015,0:00:00,6/10/2015,22:17:59,124.6
SOCAL-CINMSB28,89-150611,736,2.02S,34-17.097 N,,120-01.634 W,,580,6/11/2015,10/2/2015,R,200,0,0,1,6/12/2015,3:00:00,9/28/2015,13:31:15,108.4
SOCAL-CINMSC28,16-150610,762,2.05A,34-19.562 N,,120-48.405 W,,754,6/10/2015,10/4/2015,R,320,0,0,0,6/11/2015,0:00:00,10/4/2015,21:06:08,115.9
SOCAL-CINMSB29,108-151004,780,2.74,34-17.105 N,,120-01.666 W,,579,10/4/2015,12/16/2015,R,200,0,0,1,10/5/2015,0:00:00,12/16/2015,1:05:06,72
SOCAL-CINMS_B_30_00,101-151216,780,2.74,34-16.532 N,,120-01.112 W,,585,12/16/2015,7/27/2016,R,200,0,0,0,12/16/2015,0:00:00,5/29/2016,0:07:36,165
SOCAL-CINMS_B_30_0115,19-151216,809,2.02S,34-15.074 N,,120-00.866 W,,586,12/16/2015,2/19/2016,R,200,0,0,0,12/16/2015,18:00:08,2/1/2016,23:53:53,47.2
SOCAL-CINMS_B_30_0130,82-151216,808,2.02U,34-15.074 N,,120-00.866 W,,586,12/16/2015,2/22/2016,R,200,0,0,0,12/16/2015,18:00:00,1/27/2016,20:34:01,42.1
SOCAL-CINMS_B_30_0145,83-151216,810,2.02S,34-15.074 N,,120-00.866 W,,586,12/16/2015,2/19/2016,R,200,0,0,0,12/16/2015,17:59:59,1/29/2016,20:06:14,44.1
SOCAL-CINMS_B_30_03,89-151215,811,2.02S,34-14.895 N,,120-01.638 W,,586,12/15/2015,2/22/2016,R,200,0,0,0,12/15/2015,19:00:00,1/29/2016,9:01:15,44.6
SOCAL-CINMS_B_30_0515,86-151216,813,2.02U,34-14.513 N,,120-01.181 W,,585,12/16/2015,2/22/2016,R,200,0,0,0,12/16/2015,18:00:00,1/31/2016,0:02:30,45.3
SOCAL-CINMS_B_30_0530,71-151216,814,2.02U,34-14.513 N,,120-01.181 W,,585,12/16/2015,2/23/2016,R,200,0,0,0,12/16/2015,18:00:00,1/24/2016,2:48:45,38.4
SOCAL-CINMS_B_30_0545,56-151216,812,2.02S,34-14.513 N,,120-01.181 W,,585,12/16/2015,2/23/2016,R,200,0,0,0,12/16/2015,18:00:00,1/28/2016,11:30:00,42.7
SOCAL-CINMS_B_31,111-160726,738,2.85,34-17.095 N,,120-01.630 W,,578,7/27/2016,11/9/2016,R,200,0,0,0,7/27/2016,18:00:00,11/9/2016,16:37:30,104.9
SOCAL-CINMS_B_32,140-161109,834,2.86,34-17.104 N,,120-01.603 W,,580,11/9/2016,2/22/2017,R,200,0,0,1,11/9/2016,16:05:00,1/18/2017,2:01:21,69.4
SOCAL-CINMS_B_33,117-170222,856,2.86,34-17.062 N,,120-01.560 W,,579,2/22/2017,6/6/2017,R,200,0,0,0,2/22/2017,18:00:00,6/6/2017,15:36:15,103.9
