Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
SOCAL_CINMS_B24,54_140409,731,2.02S,34_17.099 N,,120_01.639 W,,580,4/9/2014,7/28/2014,R,200,0,0,1,4/9/2014,23:59:59,5/22/2014,8:29:33,42.3
SOCAL_CINMS_B25,13_140729,742,2.02S,34_17.143 N,,120_01.650 W,,580,7/29/2014,11/4/2014,R,200,0,0,0,7/29/2014,6:00:00,11/4/2014,4:37:30,97.9
SOCAL_CINMS_B26,34_141104,683,2.02S,34_17.157 N,,120_01.695 W,,600,11/4/2014,2/5/2015,R,200,0,0,0,11/4/2014,6:00:00,2/5/2015,19:35:00,93.5
SOCAL_CINMS_B27,89_150205,714,2.02S,34_17.168 N,,120_01.717 W,,600,2/5/2015,6/10/2015,R,200,0,0,0,2/6/2015,0:00:00,6/10/2015,18:10:00,124.8
SOCAL_CINMS_B28,89_150611,736,2.02S,34_17.097 N,,120_01.634 W,,580,6/11/2015,10/2/2015,R,200,0,0,1,6/12/2015,3:00:00,9/28/2015,13:31:15,108.4
SOCAL_CINMS_B29,108_151004,780,2.74,34_17.105 N,,120_01.666 W,,579,10/4/2015,12/16/2015,R,200,0,0,1,10/5/2015,0:00:00,12/16/2015,1:05:06,72
SOCAL_CINMS_C_29,33_151004,762,2.05A,34_19.560 N,,120_48.416 W,,755,10/4/2015,3/16/2016,R,320,0,0,1,10/5/2015,0:00:00,12/18/2015,2:35:29,74.1
SOCAL_CINMS_C_30,16_160317,762,2.05A,34_19.430 N,,120_48.412 W,,755,3/16/2016,7/27/2016,R,320,0,0,0,3/17/2016,0:00:00,7/27/2016,20:21:58,131.8
SOCAL_CINMS_C_31,133_160726,697,2.6,34_19.477 N,,120_48.417 W,,756,7/27/2016,11/9/2016,R,320,0,0,0,7/28/2016,0:00:00,11/9/2016,21:19:42,104.9
SOCAL_CINMS_C_32,139_161108,762,2.61,34_19.455 N,,120_48.426 W,,760,11/9/2016,2/22/2017,R,320,0,0,0,11/10/2016,0:00:00,2/22/2017,8:36:03,104.4
SOCAL_CINMS_C_33,133_170222,697,2.62,34_19.446 N,,120_48.308 W,,755,2/22/2017,2/20/2017,R,320,0,0,0,2/22/2017,18:00:00,6/8/2017,2:26:53,105.4
SOCAL_CINMS_C_34,155_170608,762,2.62,34_19.436 N,,120_48.341 W,,755,6/8/2017,10/4/2017,R,320,0,0,0,6/8/2017,6:00:00,10/4/2017,4:18:19,117.9
SOCAL_CINMS_C_35,135_171004,697,2.63,34_19.412 N,,120_48.445 W,,755,10/4/2017,2/16/2018,R,320,0,0,1,10/4/2017,4:00:00,10/27/2017,23:08:38,23.8
SOCAL_CINMS_C_36,155_190217,762,2.63,34_19.440 N,,120_48.389 W,,758,2/17/2018,7/11/2018,R,320,0,0,1,2/17/2018,0:00:00,6/29/2018,18:54:29,132.8
SOCAL_CINMS_C_37,138_180711,697,2.63,34_19.365 N,,120_48.567 W,,766,7/11/2018,1/23/2019,R,320,0,0,0,7/12/2018,0:00:00,12/1/2018,13:22:33,142.6
SOCAL_CINMS_C_38,139_190124,762,2.63,34_19.366 N,,120_48.556 W,,765,1/23/2019,4/15/2019,R,320,0,0,0,1/24/2019,0:00:00,4/12/2019,19:31:52,78.8
SOCAL_CINMS_C01,25_080212,429,1.17B,34_19.123 N,,120_47.954 W,,749,2/12/2008,4/17/2008,R,200,0,0,0,2/13/2008,0:00:00,4/3/2008,21:00:00,51
SOCAL_CINMS_C02,25_080417,452,1.17B,34_19.074 N,,120_48.212 W,,750,4/17/2008,7/23/2008,R,200,7,5,1,4/18/2008,0:00:00,7/24/2008,1:33:30,99
SOCAL_CINMS_C03,13_080723,478,1.17B,34_19.094 N,,120_48.282 W,,750,7/23/2008,10/14/2008,R,200,7,5,1,7/24/2008,0:00:00,10/2/2008,5:26:30,71
SOCAL_CINMS_C04,21_081014,472,1.17B,34_19.110 N,,120_48.333 W,,700,10/14/2008,12/3/2008,R,200,0,0,0,10/15/2008,0:00:00,12/4/2008,1:02:30,51
SOCAL_CINMS_C05,02_081203,413,1.17B,34_18.902 N,,120_48.370 W,,700,12/3/2008,3/11/2009,R,200,10,5,0,12/3/2008,0:00:00,2/28/2009,4:25:00,88
SOCAL_CINMS_C09,30_090902,498,2.01,34_18.906 N,,120_48.385 W,,799,9/2/2009,11/3/2009,R,200,0,0,1,9/3/2009,0:00:00,10/27/2009,6:17:30,54
SOCAL_CINMS_C10,25_091103,581,2.01A,34_19.108 N,,120_48.465 W,,780,11/3/2009,3/1/2010,R,200,10,5,0,11/4/2009,0:00:00,2/20/2010,12:32:30,102
SOCAL_CINMS_C12,25_100302,581,2.02Q,34_19.097 N,,120_48.445 W,,801,3/2/2010,6/24/2010,R,200,0,0,0,3/3/2010,0:00:00,6/13/2010,17:10:00,102
SOCAL_CINMS_C13,30,580,2.02Q,34_19.000 N,,120_48.410 W,,915,6/24/2010,11/15/2010,R,200,0,0,0,6/24/2010,23:00:00,9/21/2010,3:43:45,89
SOCAL_CINMS_C15,30_101115,580,2.02Q,34_18.997 N,,120_48.412 W,,850,11/15/2010,4/5/2011,R,200,0,0,0,11/16/2010,0:00:00,3/2/2011,3:30:00,107
SOCAL_CINMS_C16,25_110405,581,2.02S,34_19.007 N,,120_48.349 W,,850,4/5/2011,10/24/2011,R,200,0,0,0,4/5/2011,21:00:00,7/11/2011,23:12:36,94
SOCAL_CINMS_C17,19_111024,650,2.02S,34_19.007 N,,120_48.337 W,,825,10/24/2011,3/24/2012,R,200,0,0,0,10/27/2011,0:00:00,3/3/2012,12:28:45,128
SOCAL_CINMS_C18,77_120324,645,2.05A,34_19.500 N,,120_48.400 W,,758,3/24/2012,8/1/2012,R,320,0,0,0,3/25/2012,0:00:00,8/2/2012,17:20:57,131
SOCAL_CINMS_C19,17_120802,669,2.05A,34_19.384 N,,120_48.384 W,,800,8/1/2012,12/17/2012,R,320,0,0,1,8/2/2012,0:00:00,12/7/2012,20:19:37,128
SOCAL_CINMS_C20,82_121217,692,2.05A,34_19.020 N,,120_48.336 W,,800,12/17/2012,5/2/2013,R,320,0,0,1,12/18/2012,0:00:00,4/28/2013,15:16:21,132
SOCAL_CINMS_C21,33_130502,708,2.05A,34_19.013 N,,120_48.333 W,,814,5/2/2013,9/20/2013,R,320,0,0,0,5/2/2013,20:00:00,6/17/2013,10:54:00,45
SOCAL_CINMS_C22,71_130920,718,2.02S,34_19.013 N,,120_48.333 W,,823,9/21/2013,1/14/2014,R,200,0,0,0,9/22/2013,0:00:00,1/14/2014,19:35:00,115
SOCAL_CINMS_C23,33_140114,692,2.05A,34_18.973 N,,120_48.295 W,,828,1/14/2014,4/9/2014,R,320,0,0,1,1/14/2014,21:00:00,4/9/2014,17:41:02,85
SOCAL_CINMS_C24,16_140409,697,2.05A,34_19.452 N,,120_48.369 W,,754,4/9/2014,7/28/2014,R,320,0,0,0,4/9/2014,20:00:00,7/29/2014,7:22:17,110.5
SOCAL_CINMS_C25,33_140729,697,2.05A,34_19.483 N,,120_48.414 W,,770,7/29/2014,11/4/2014,R,320,0,0,0,7/29/2014,12:00:00,11/4/2014,9:38:36,97.9
SOCAL_CINMS_C26,16_141104,762,2.05A,34_19.474 N,,120_48.474 W,,600,11/4/2014,2/5/2015,R,320,0,0,0,11/4/2014,14:00:00,2/5/2015,14:53:26,93
SOCAL_CINMS_C27,33_150205,697,2.05A,34_19.562 N,,120_48.407 W,,755,2/5/2015,6/10/2015,R,320,0,0,0,2/6/2015,0:00:00,6/10/2015,22:17:59,124.6
SOCAL_CINMS_C28,16_150610,762,2.05A,34_19.562 N,,120_48.405 W,,754,6/10/2015,10/4/2015,R,320,0,0,0,6/11/2015,0:00:00,10/4/2015,21:06:08,115.9
